subject,nodes,samples,avg_purity,max_purity,perfect_nodes
subject001,4,13,0.6041666666666666,1.0,1
subject002,6,20,0.513888888888889,0.6666666666666666,0
subject003,3,13,0.5,0.6666666666666666,0
subject004,2,8,0.5333333333333333,0.6666666666666666,0
subject005,2,11,0.5892857142857142,0.75,0
subject006,1,4,0.5,0.5,0
subject007,1,4,0.5,0.5,0
subject009,3,11,0.6666666666666666,1.0,1
subject010,3,10,0.8888888888888888,1.0,2
